书名,可替换书名,朝代,注,注2,作者
一半勾留集,,清,,,朱樟
一行居集,,清,,,彭兆升
一览编文稿,,清,,,屠绍理
一览编诗稿,,清,,,屠绍理
一斑录杂述,,清,,,郑光祖
八砖吟馆刻烛集,,清,,,阮元
八旗驻防志略,,清,,,张大昌
八旗通志,,清,,,
丁竹舟先生墓表,,清,,增,
丁辛老屋集,,清,,,王又曾
二申野录,,清,,,孙之騄
二老堂杂志,,宋,,,周必大
二如居赠答诗,,清,,,汪鉽
二酉山房诗钞,,？,,,路尊
二树遗集,,,,,
二峰集,,清,,,邵锡荣
九谷集,,清,,,方殿元
九灵山房集,,元,,,戴良
九峰居书画真迹录,,清,,,吴廷华
九嶷山人诗草,,,,,朱孙炎
七十老人学诗钞,,,,,吴清藻
七修类稿,,明,,,郎瑛
七修续稿,,明,,增,郎瑛
人海记,,清,,,查慎行
十二种兰亭精舍诗集,,清,,,陈元禄
十华小筑诗钞,,清,,,余本愚
十国春秋,,清,,,吴任臣
十驾斋养新录,,清,,,钱大昕
十驾斋集,,清,,,施廷枢
十诵斋集,,清,,,周天度
十砚斋集,,清,,,顾之珽
十洲集,,,,,方九叙
又其次斋诗集,,,,,吴世涵
大观堂集,,清,,,余缙
大全集,高太史大全集、高启大全集,元,,增,高启
大典本淳祐临安志,,宋,,减,施愕
大泌山房集,,明,,,李维桢
大涤山房诗录,,,,,张吉安
大涤洞天记,,元,,,邓牧
大理寺评事,,,,减,
大清会典,,,,,
大清会典则例,,,,减,
大清律例,,,,,
大雅集,,清,释,,昙噩
飞鸿堂印人传,,清,,,汪启淑
飞鸿堂初稿,,清,,,汪启淑
飞鸿堂墨谱,,清,,,汪启淑
广元堂集,,,,减,
广滑稽,,明,,,陈禹谟
广福庙志,,清,,,唐恒九
口头吟诗草,,清,释,减,啸溪
马氏日钞,,明,,,马愈
马松里文,,明,,减,马三才
三十六芙蓉馆诗存,,清,,,关锳
三冈识略,,,,,董含
三石斋集,,清,,,汪又展
三台文献,,明,,,李时渐
三州诗钞,,清,,,鲁曾煜
三李堂集,,,,,金学莲
三国志,,晋,,,陈寿
三鱼堂日记,,清,,,陆庞其
三柳轩杂识,,,,,程启
三浙书院碑记,,,,,
三朝北盟会编,,宋,,,徐梦莘
三朝政要,,宋,,,
三朝野史,,元,,,佚名
山人集,,明,,,吕时臣
山东通志,,清,,,岳濬
山村清气集,,元,释,,德净
山村遗集,,元,,,仇远
山房杂录,,明,释,,祩宏
山居诗话,,元,,减,杨瑀
山居新话,,元,,,杨瑀
山带阁集,,明,,,朱昌潘
山斋客谈,,清,,,景星杓
山堂肆考,,明,,,彭大翼
上天竺山志,,明,释,,广宾
上天竺讲寺志,,,,,
上湖分类文编,,清,,,汪师韩
上湖分类文编注,,清,,减,汪师韩
上湖纪岁诗编,,清,,,汪师韩
上湖诗纪续编,,清,,,汪师韩
上虞县志,光绪上虞县志,清,,,唐煦春
士礼居藏书题跋记续录,,,,,
万历府志,万历杭州府志,明,,,陈善
万历钱塘志,万历钱塘县志,明,,,聂心汤
万氏宗谱,,,,,
万寿宫上谕碑,,,,,
万寿宫碑记,,清,,增,
万事上谕碑,,清,,增,
万柳溪边旧话,,元,,,尤玘
夕秀斋诗钞,,清,,减,汪振甲
习苦斋文集,,清,,,戴熙
习苦斋古文,,清,,增,戴熙
习苦斋删余诗,,清,,增,戴熙
习苦斋诗集,,清,,,戴熙
习苦斋笔记,,清,,,戴熙
习苦斋集,,清,,增,戴熙
乡程日记,,清,,,王相
小山画谱,,清,,,邵一桂
小山居续稿,,清,,,何琪
小山居稿,,清,,,何琪
小万卷斋诗稿,,清,,,朱珔
小仓山房尺牍补编,,清,,,袁枚
小仓山房文集,,清,,,袁枚
小仓山房诗注,,清,,减,袁枚
小仓山房诗集,,清,,,袁枚
小云诗钞,,清,,减,汪元量
小石梁山馆稿,,清,,,李芳湛
小安养斋剩稿,,清,,,单炤
小安养斋遗稿,,清,,,单炤
小岘山人文集,,清,,,秦瀛
小岘山人诗集,,清,,,秦瀛
小酉腴山馆诗钞续编,,清,,,吴大廷
小迂诗钞,,清,,,倪印元
小余香诗钞,,清,,,潘鸿谟
小罗浮山馆诗钞,,,,,吴升
小称意斋集,,,,,高瀛洲
小峨嵋山馆诗稿,,清,,,杨星曜
小栗山房初稿,,清,,,殳三庆
小栗山房诗钞,,清,,,殳三庆
小绿天庵吟草,,清,释,,六舟
小隐山樵诗草,,,,,王义祖
小睡足寮诗录,,清,,,秦敏树
小睡足寮诗续录,,清,,,秦敏树
小槐簃文存,,清,,增,丁立诚
小槐簃诗稿,,清,,,丁立诚
小瀛洲吟稿,,,,,鲍兰皋
于忠肃公年谱,,清,,,于继先
于忠肃公集,,明,,,于谦
于斯堂诗集,,,,,沈起潜
也园草,,清,,,叶菁
也是山房吟草,,,,增,
子不语,,清,,,袁枚
子修诗钞,,清,,,吴庆坻
子修诗稿注,,清,,减,吴庆坻
子渊诗集,,宋,,,张仲深
巴西文集,,元,,,邓文元
不改乐之堂遗稿,,,,,范崇阶
不秋草庐诗集,,清,,减,高学沅
斗南老人集,,明,,,胡奎
方秋崖集,,宋,,,方岳
方泉诗集,,宋,,,周文璞
方洲集,,明,,,张宁
方壶存稿,,宋,,,汪莘
方望溪先生全集,,清,,增,方苞
方舆胜览,,宋,,,祝穆
方麓集,,明,,,王樵
分门古今类事,,宋,,,
丰乐楼赋,,清,,增,邹志初
风月堂杂识,,清,,,姜南
见山亭诗集,,,,,章炳
见未山房学诗偶存,,,,,时长延
见闻纪训,,明,,,陈良谟
见闻杂记,,清,,,林一枝
见闻近录,,清,,,俞超
见闻录,,明,,,陈继儒
今文短篇,,清,,,诸匡鼎
今白华堂诗录,,清,,减,童槐
开有益斋金石记,,清,,,朱绪曾
六一山房诗集,,清,,,董沛
六砚斋笔记,,明,,,李日华
木鸡书屋文集,,清,,增,黄金台
内自讼斋文钞,,,,,
欠伸余句,,清,,,梁文濂
劝戒五录,,清,,减,梁恭辰
劝戒录,,清,,,梁恭辰
劝戒类钞,,,,减,
仁庙五巡江南日录,,清,,,
壬寅纪事,,清,,,
日本武学兵队纪略,,,,,张大镛
日省斋待正草,,,,,严以宽
少室山房类稿,,明,,,胡应麟
少室山房笔记,,明,,减,胡应麟
书三味斋稿,,,,,魏谦升
书农年谱,胡书农年谱,清,,,胡敬
书画汇考,,,,,卞永誉
书画船后集,,,,,朱琰
书斋杂咏集字诗,,清,,增,
书苑精华,,明,,,陈思
书湖州庄氏史狱,,清,,,翁广平
双鉴楼善本书目,,,,增,傅增湘
水心文集,,宋,,,叶适
水东日记,,明,,,叶盛
水流云在馆诗钞,,,,,朱晋
水曹清暇录,,清,,,汪启淑
太乙舟文集,,清,,,陈用光
太仓稊米集,,宋,,,周紫芝
太白山人集,,明,,,孙一元
太白山人漫稿,,明,,,孙一元
太平清话,,明,,,陈继儒
太平惠民和剂局方,,宋,,,陈师文
太函集,,明,,,汪道昆
太鹤山人集,,清,,,端木国瑚
天一阁书目,,,,,
天下名酒记,,,,,张能臣
天下同文集,,元,,,周南瑞
天香楼诗存,,清,,,蔡涛
天真阁集,,,,,孙原湘
天涯闻见录,,清,,减,魏祝亭
天禄琳琅书目,,清,,,应昌期
天雅集,,元,,减,赖良
王文肃公文草,,明,,增,王锡爵
王文肃集,,明,,,王锡爵
王右丞集,,唐,,,王维
王坟碑记,,,,,胡光墉
王忠文公集,,明,,,王祎
王逢诗集,,元,,,
王逸人集,,,,,王崑崙
王翰检集,,宋,,,王禹偁
王樵麓文集,,明,,,王樵麓
为可堂集,,,,,朱一是
为善阴骘,,明,,,朱棣
文几山人集,,清,,,曹臣
文山集,,宋,,,文天祥
文正集,,,,,吴澄
文会堂诗钞,,,,,朱美镠
文庙乐器庆成恭赋,,清,,,冯松生、杨振镐
文辀属稿,,清,,,方楘如
文章游戏,,清,,,缪艮
文献通考,,元,,,马端临
文靖集,,,,,金幼孜
文溪存稿,,宋,,,李昂英
文溪集,,宋,,,李昂英
文毅公集,,明,,,商辂
乌青文献,,,,,
无不宜斋未定稿,,清,,,瞿灏
无尽意斋诗钞,,,,,许乃椿
无悔斋集,,清,,,周京
无腔村笛,,清,,,吴振棫
五百家播芳大全文粹,,宋,,减,魏贤齐、叶萦
五砚斋文钞,,清,,,沈赤然
五砚斋诗钞,,清,,,沈赤然
五峰集,,元,,,李孝光
午溪集,,元,,,陈鉴
心史,,宋,,,郑思肖
心知堂诗稿,,清,,,汪仲洋
心苏集,,清,,,吴农祥
忆云词,忆云词乙稿,,,,项廷纪
友石斋诗集,,清,,,高锡恩
友菉轩诗钞,,,,,
与鹿集,,,,,周思
元人文集,,,,,
元丰类稿,,宋,,增,曾巩
元文类,,元,,,苏天爵
元史,,明,,,宋濂
元师山先生文集,,元,,,郑玉
元妙观志,,清,道,,仰蘅
元典章,,,,,
元杭州路重建庙学碑,,元,,减,孟昉
元诗纪事,,,,,陈衍
元诗选,,清,,,顾嗣立
元武石记,,明,,增,
月沧文集,一作《月沧诗文偶存》,清,,,吕璜
月船居士诗稿,,清,,,卢镐
月满楼诗集,,清,,,顾宗泰
云谷书屋诗集,,清,,,朱鸿猷
云谷杂记,,宋,,,张淏
云泾草堂遗稿,,,,,邱永
云居山红叶记,,明,,减,李流芳
云居寺志,,清,释,,明伦
云林集,,明,,,危素
云林遗事,,明,,,顾元庆
云泉集,云泉诗集,宋,释,,永颐
云留旧草,,清,,减,石韫玉
云栖纪事,,明,释,,祩宏
云栖法汇,,明,释,,智瑛
云桥诗稿,,,,减,
云烟过眼录,,宋,,,周密
云巢诗稿,,清,释,,宝㦤
云巢集,,宋,,,沈辽
云祥集,,清,,,高敏
云腴仙馆遗稿,,清,,,姚樟
云麓诗存,,,,,史正义
云麓漫钞,,宋,,,赵彦卫
云蠖斋诗话,,,,,
止斋文集,,宋,,,陈傅良
中玉雅林小稿,,宋,,,王琮
中兴馆阁录,,宋,,,陈骙
中吴纪闻,,宋,,,龚明之
中国女史,,,,,
中庵集,,元,,,刘敏中
白氏长庆集,,唐,,,白居易
白云诗集,,清,,,卢存心
白华诗稿,,,,,关省钦
白华堂诗录,,,,,童槐今
白茅堂集,,清,,,顾金星
白湖小稿,,清,,,姚珽
白鹄山房诗草,,清,,,徐熊飞
白獭髓,,宋,,,张仲文
半江集,,明,,,赵宽
半瓢诗钞,,,,,卢潮生
北山文钞,,清,,,姜文蘅
北山酒经,,宋,,,朱翼中
北山酒经跋,,清,,减,鲍廷博
北山集,,清,,,朱绪曾
北行日录,,宋,,减,楼钥
北涧文集,,宋,释,,居简
北窗炙輠录,,宋,,,施德操
北隅续录,,清,,,丁丙
北隅掌录,,清,,,黄士珣
北新关志,,清,,,王宫臻
本事诗,,清,,,徐釚
本堂文集,,宋,,,陈著
丙申游山日记,,清,,,高全栋
长兴集,,宋,,,沈括
长物志,,明,,,文震亨
长室诗存,,清,,,翁可久
丛笔轩遗稿,,,,,孙采芙
东山集抄,,,,,吾定保
东山楼诗续集,,,,,曹宗载
东天目山志,,,,,
东汀小稿,,清,,,叶愚
东华录,,,,,
东江别集,,明,,,沈谦
东江集钞,,明,,,沈谦
东里文集,,明,,,杨士奇
东里两先生集,,,,,
东轩吟社图记,,清,,,汪远孙
东轩雅集图记,,清,,,朱文藻
东园文集,,明,,,郑纪
东河棹歌,,清,,,姚思勤
东河棹歌诗注,,清,,减,姚思勤
东坡全集,,宋,,,苏轼
东坡志林,,宋,,,苏轼
东坡题跋,,明,,,钟羽正辑
东城小志,,,,,
东城小录,,,,,
东城杂记,,清,,,厉鹗
东城杂记补,,,,,
东城杂记原本,,,,减,
东城续纪,,,,,
东南纪事,,,,,
东南纪闻,,元,,,佚名
东南逸事,,,,,
东亭别集,,,,,张奕光
东亭别集回文,,,,减,张奕光
东洲草堂诗钞,,清,,,何绍基
东洲集,,,,,崔桐
东皋诗文集,,,,,张右民
东皋草堂诗集,,清,,,王德璘
东海半人诗钞,,清,,,钟大源
东桥石刻记,,,,增,
东堂集,,宋,,,毛滂
东维子集,,元,,,杨维桢
东溟文后集,,清,,,姚莹
东潜文稿,,清,,,赵一清
东潜诗稿,,清,,,赵一清
冬秀亭诗注,,,,减,
冬秀亭集,,清,,,朱樟
冬青书屋吟草,,,,,周泰
冬青馆集,,清,,,张鉴
冬花庵烬余稿,,清,,,奚冈
冬荣草堂诗集,,清,,,汪隆耀
冬荣草堂集,,清,,,李堂
对床风雨集,,清,,,汪沆
尔尔轩集,,,,,陈常
甘泉乡人稿,,清,,,钱泰吉
功甫小集,,清,,,潘曾沂
古山乐府,,,,,张堃
古今体诗偶钞,,,,,高凤台
古今诗史,,,,,
古今诗话,,,,,
古今图书集成,,,,,
古欢堂诗集,,清,,,胡涛
古杭杂记,,元,,,李东有
古杭杂记诗集,,元,,,佚名
古杭梦游录,,,,,
古城阴草堂诗,,,,,吴兴
古春轩诗钞,,清,,,梁德纯
古栎山房稿,,清,,,黄孙嬴
古香堂诗集,,,,,吴泰来
古雪诗钞,,,,,杨继端
古雪诗续钞,,,,,杨继端
古照堂诗稿,,,,,奚大武
归田诗话,,明,,,瞿佑
归休处记,,清,,减,沈廷芳
归愚文续,,清,,,沈德潜
归愚年谱,,清,,减,沈德潜
归愚诗钞,,清,,,沈德潜
归愚诗钞诗余,,清,,减,沈德潜
弘秀集,,明,释,,弘秀
击钵吟偶存,,,,,
记祚德庙始末,,宋,,增,陆九渊
旧雨斋集,,清,,,施安
句曲外史附录,,元,,减,张雨
句曲外史集,,元,,,张雨
句留集,,,,,蔡廷弼
句麓山房集,,,,,周向青
可久长室诗存,,,,,吴宗麟
可仪堂诗存,,,,,俞葆寅
可自怡斋诗偶存,,清,,,汤春
可闲老人集,,元,,,张昱
叩舷凭轼录,,明,,,姜南
兰江负米集,,,,,蔡廷弼
兰亭续考,,宋,,,俞松
兰韵堂诗集,,,,,沈初
兰藻堂集,,清,,,舒瞻
乐府遗音,,明,,,瞿佑
立命全书,,,,,
龙兴寺志,,清,,,张大昌
龙兴尊胜幢记,,清,,增,
龙虎山志,,,,,娄近垣
龙南漫稿,,明,释,,法聚
龙珠山房集,,明,,,李奎
宁志余闻,,,,,周广业
平宋录,,元,,,刘敏中
平宋录原序,,,,减,周敏
平阳汪氏支谱,,,,增,
平园续稿,,宋,,,周必大
平原汪氏支谱,,,,减,
平斋集,,宋,,,洪咨夔
平浙纪略,,,,,
平庵诗,,,,,项安世
平湖县志,,,,,王恒修
且瓯集,,清,,,项霁
圣祖仁皇帝御制诗文集,,清,,,张玉书等编
石云吟雅,,清,,,姚燮
石田文集,,元,,,马祖常
石田诗选,,明,,,沈周
石如吟稿,,清,,,江鉴
石园遗草,,,,,朱溶
石亭诗草,,,,,严云程
石笥山房诗集,,清,,,胡稚威
石笥山房诗集,,清,,,胡稚威
石湖诗集,,宋,,,范成大
石幢居士吟稿,,清,,,梁肯堂
史氏谱略,,,,增,
矢音集,,清,,,梁诗正
世经堂诗钞,,清,,,徐旭旦
市曲茅堂诗,市曲茅堂集,清,,,黄琛
司马温公集,,宋,,,司马光
四书说丛,,,,,沈无回
四友斋丛说,,明,,,何良俊
四村集,,,,,史鉴
四库全书总目提要,,清,,,永瑢等
四朝诗集,,清,,,王猷定
四朝闻见录,,宋,,,叶绍翁
四照堂集,,清,,,王猷定
台山怀旧集,,,,,
田居诗稿,,清,,,龚翔麟
田教授诗,,,,,
汀风阁集,,,,减,戴永植
未忘集,,清,,,吴农祥
未学斋集,,清,,,仇养正
未筛集,,,释,,超源
仙林寺石刻观音像偈,,清,,增,
叶氏家乘,,,,,
永康文存,,清,,,应宝时
永新诗征,,,,,尹继隆
玉山草堂诗集,,清,,,钱林
玉井樵唱,,宋,,,尹廷高
玉历钞传警世,,,,,淡痴尊者
玉岑楼纪事诗,,清,,,许承基
玉珊瑚网法书题跋,,,,,汪砢
玉亭小稿,,,,,
玉峰法师为慈孝庵比丘尼慧机封龛法语,,清,,增,
玉海,,宋,,,王应麟
玉笥山房要集,,清,,,顾廷纶
玉堂杂记,,宋,,,周必大
玉茗堂文集,,明,,,汤显祖
玉献文集,,,,,孙锵
玉楮诗稿,,宋,,,岳珂
玉楮集,,,,,曹庭栋
玉照新志,,宋,,,王明清
玉燕堂诗集,,,,,张淦
安序堂文钞,安序堂集,清,,,毛际可
安雅堂集,,元,,,陈旅
百一山房诗集,,清,,,孙士毅
百一山房集,,,,,应时良
百一草堂集唐诗,,,,,柴才
百丈丛林清规证义记,,,,,
百五春诗,,清,,,巴泰
百正集,,宋,,,连文凤
百宋一廛书目,,清,,增,黄丕烈
百美新咏,,,,,
百泉集,,,,,皇甫汸
冰雪集,,,,,
池州府名宦志,池州府志,,,,
虫鸟吟,,,,,
传奇提要,,,,,
次立斋诗集,,,,,袁知纾
存吾春轩集,,清,,,周大枢
存诚堂诗集,,,,,张英
存素堂同怀稿,,,,,汪孟景
存斋诗话,,明,,,瞿佑
存斋集,,明,,,瞿佑
存研楼文集,,清,,,储大文
当归草堂诗草,,清,,增,丁丙
当归草堂集,,清,,,丁丙
灯烛光十参剩稿,,,,,许道基
耳提录,,清,,减,顾昌
伏敔堂诗录,,清,,增,江湜
凫藻集,,明,,,高启
艮山杂志,,清,,,翟灏
艮山诗集,,,,,侯允中
关羽志,,,,,丁矿
关庙广记,,清,,,周广业
关帝事迹征信录,,,,,
观复堂诗钞,,,,,陈𨧨
光绪丁亥天长寺同戒录,,清,释,减,茂春
光绪仙居县志,,,,,王寿颐
光绪府志,《光绪杭州府志》,,,,
好云楼初集,,清,,,李联琇
好云楼集,,清,,,李联琇
好古斋笔记,,清,,减,高行笃
红豆村人诗稿,,清,,,袁树
红雨楼题跋,,,,,
红雪山斋诗集,,清,,,景江锦
红荔山房诗钞,,清,,减,高全栋
红蝠山房诗补钞,,清,,,王乃斌
红蝠山房诗钞,,清,,,王乃斌
红蔷吟馆诗稿,,清,,,锁瑞芝
红蕉庵诗集,,清,,,戴莼
红藕庄词,,清,,,龚翔麟
红蘅馆初稿,,,,,张孟淦
后乐园记,后乐园记（石刻）,清,,,谢启昆
后村居士集,,宋,,,刘克庄
后村诗话,,宋,,,刘克庄
后洋书屋诗钞,,清,,,梁文濂
后湘诗集,,,,,姚莹
尖阳丛笔,,清,,,吴骞
江上草堂诗钞,,,,,
江上稿,,清,,,顾言
江月松风集,,元,,,钱惟善
江西通志,,清,,,谢旻
江声草堂诗集,,清,,,金志章
江邻几杂志,,宋,,减,江邻几
江湖长翁文集,江湖长翁集,宋,,,陈造
江湖后集,,宋,,,陈造
考古录,,,,,孙壁文
匡林,,清,,,王先舒
老父云游始末跋,,,,,吴磊
老学后庵忆语,,清,,,何兆瀛
老学后庵随笔,,清,,减,何兆瀛
老学庵笔记,,宋,,,陆游
耒边词,,,,,李符
列朝诗集小传,,清,,,钱谦益
刘孟涂集,孟涂集,清,,,刘开
米筛集,,,释,减,超原
名山胜概记,,,,,
名山集,,,,,陈奋永
名贤小影题名,,,,,
名宦祠增祀文达阮公铁孙徐公祝文,,清,,减,胡琨
名胜志,,明,,,曹学佺
牟山诗钞,,,,,孙凤仪
齐东野语,,宋,,,周密
屺云楼诗话,,,,,刘存仁
庆元党禁,,宋,,增,沧洲樵叟
曲江老屋诗草,,清,,,俞光祖
全氏宗谱,,,,增,
全浙诗话,,清,,,陶元藻
如舟吟馆诗钞,,清,,,瑞常
师山遗文,,元,,减,郑玉
师友集,,,,,陈章钜
师石山房诗稿,,清,,,诸维垕
师竹斋稿,,清,,,陈灿
守约禅师纪略,,,,,
岁时杂记,,宋,,,吕原明
岁寒堂存稿,,清,,,林璐
岁寒堂集,,清,,,林璐
孙文恪公集,,明,,,孙陞
孙宇台集,,清,,,孙治
同戒录,,清,,,
同林倡和集,,,,,
托素斋集,,,,,黎士弘
问和诗稿,,,,,汪曾梅
问桃花馆诗,,清,,增,
西龙两邑试馆记,,,,,
西村集,,明,,,史鉴
西轩效唐集录,,明,,,丁养浩
西园诗集,,,,增,
西河合集,,清,,,毛奇龄
西河诗话,,清,,,毛奇龄
西泠石刻记,,,,减,倪涛
西泠仙咏,,清,,,陈文述
西泠怀古集,,清,,,陈文述
西泠陆氏家谱,,清,,,陆宗楷、陆宗桓
西泠闺咏,,清,,,陈文述
西泠消寒集,,,,,秦澹如
西泠酬倡二集,,,,,
西泠酬倡三集,,,,,
西泠酬倡集,,,,,
西岩集,,元,,,张之翰
西涧画余录,,清,,,徐鉽
西涧画余稿,,清,,,徐鉽
西陵词选,,清,,,梁允植
西陵词选,,,,,王昭雍
西湖八社诗帖,,明,,,祝时泰
西湖三太守诗钞,,,,,聂先
西湖六君子诗,,,,减,聂先
西湖记述,,明,,减,袁宏道
西湖百咏,,宋,,,董嗣杲
西湖百咏,,清,,,柴杰
西湖百咏,,清,,,王廷鼎
西湖百咏,,,,,夏时
西湖关庙广记,,,,,何其炜
西湖合集,,,,,
西湖杂咏,,清,,,陈若莲
